place_id,website,clean_domain_names
426b3c83bf53aeeb613da44c1fac6e16,https://www.haymondlaw.com/locations/providence-ri/,www.haymondlaw.com
a846328f7314c8085d147b129ba5c1b1,https://www.dudleydebosier.com/locations/new-orleans/,www.dudleydebosier.com
1a6cf7be36aca307aab02f8702177d66,https://stevewatrel.com/,stevewatrel.com
0fc83566dc52dbd0b5fad3d2de0d6fe1,http://www.pohlberkattorneys.com/,www.pohlberkattorneys.com
b5e68b0588b9e22b16dc5075a4319d3e,https://www.lombardilawoffice.com/?utm_campaign=gmb,www.lombardilawoffice.com
d3a7147674e08de4a454acbcf21af437,https://attorneys.superlawyers.com/personal-injury-plaintiff/florida/jacksonville/,attorneys.superlawyers.com
bac5247a5a10010aaa62e4368e066292,https://www.edwardwomac.com/,www.edwardwomac.com
98181eb5f709c79e381504bcf83c1315,https://danaanddana.com/?utm_source=GMBlisting&utm_medium=organic,danaanddana.com
59bf683dcb530d41c8ffb46b57326a5b,https://www.jaxinjuryattorney.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=home%20page,www.jaxinjuryattorney.com
7473390ae5cc69c134ad28109e158c81,https://www.mfclaw.com/,www.mfclaw.com
73bd5aa7e5aa1017f18e9d1f225dadbf,https://www.lavislaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=website,www.lavislaw.com
6dbd4a9e6c6ec0fa61e19ed07b6f3ecd,http://klandrylaw.com/law-office-locations/personal-injury-lawyer-providence-ri/,klandrylaw.com
a36e4036864d7eb7c275742c6abcff60,https://cartermario.com/serious-injury-landing-page/?_vsrefdom=googleppc,cartermario.com
3cd7a74fc36afed65129a154e345f08e,http://bottarolaw.com/east-providence/,bottarolaw.com
2481f3d7c48ff48ee0886f8c2e5c1f22,https://kennedydoyle.com/pages/connecticut-injury-lawyers,kennedydoyle.com
dc13852a21cf39c646fe78a89e033fd8,http://www.m-n-law.com/warwick/,www.m-n-law.com
1bc483f3089596c64abc9bf72636ef98,https://cartermario.com/hartford/,cartermario.com
18892dfc063bfc8ea0bed7dc02d94104,https://wdoonanlaw.com/practice-areas/,wdoonanlaw.com
4af152e22919ac5ff0a4975a8f630771,https://www.morrisbart.com/new-orleans-personal-injury-lawyer/?utm_source=google&utm_medium=organic&utm_campaign=gmb,www.morrisbart.com
12f785cab1e8d9d547df9a4c302c13a1,https://www.marksalomone.com/hartford,www.marksalomone.com
7fea62455af3c348d105804e5c908e89,http://www.19percent.com/,www.19percent.com
e9b008edcd27181b3ffcbe622cc28294,https://hhklawfirm.com/,hhklawfirm.com
32f8b4fbe1ab2fe440872268cd82749f,https://www.trantololaw.com/,www.trantololaw.com
018fd01a2745bd59e565e554251b02a2,http://www.michaelhingle.com/,www.michaelhingle.com
64dfdc97f5778863ca07d3a528f015f3,https://www.berensonlaw.com/?utm_source=google&utm_medium=local,www.berensonlaw.com
9287f9e091437b4efa05186f137ab6fa,https://www.frischhertzlaw.com/,www.frischhertzlaw.com
840889b6e81902e84381908ec5e0d327,http://www.mccoymccoy.com/?utm_source=GMBlisting&utm_medium=organic,www.mccoymccoy.com
6411393168e44b0550c8ee350b44b84d,https://www.cardonelaw.com/,www.cardonelaw.com
775b866a028a78052a6ce7be2abc7f10,https://www.maafirm.com/?utm_source=google&utm_medium=maps&utm_campaign=forthworth&st-t=fortworth,www.maafirm.com
388bfdcb70a3e7a9ff369006d10db018,https://www.riscassi-davis.com/,www.riscassi-davis.com
61b5b9a2a8eb1de7ca2cd59be5448f20,http://www.chipforstall.com/,www.chipforstall.com
539510108daa4a340eb582b4fc3a9b89,https://www.cobywootenlaw.com/,www.cobywootenlaw.com
31c1ed2fff1281f453ce447a3ef52f6d,http://www.cicchiellolaw.com/,www.cicchiellolaw.com
ebfeb03f345cb79142d27a16b94d8ad3,http://www.neworleanspersonalinjury.com/,www.neworleanspersonalinjury.com
45c84e3c308cde19d6ede458b55614c6,https://www.zipfel-law.com/?utm_source=GMB&utm_medium=organic&utm_campaign=hartford,www.zipfel-law.com
0dc484d74ed869df59b03b304fe16b02,https://fortworth.1800-car-wreck.com/,fortworth.1800-car-wreck.com
c4322420ee05237f55e98f3ae4bd271e,http://www.thelambertfirm.com/,www.thelambertfirm.com
ffdc46be300dcb7a356148f620d40999,https://www.haymondlaw.com/,www.haymondlaw.com
dc5c0b343f382876110d31243f05876e,http://www.edwardwomac.com/,www.edwardwomac.com
6d501528c08a5f95dfd2a6c1eeb0af50,http://www.800perkins.com/,www.800perkins.com
9c237ae14954f054da922f32659518b2,https://www.1800lionlaw.com/,www.1800lionlaw.com
c9539032c7ebae8f4eba6bea9a54f0bb,https://www.magnesslaw.com/?utm_source=google&utm_medium=gmb&utm_campaign=website-url,www.magnesslaw.com
030ab167222688988e2b10d62186c3f1,https://www.psp-law.net/,www.psp-law.net
759697b5a0b54c6b789d05a1cd31dd6a,https://thereddylawgroup.com/,thereddylawgroup.com
0390b67e5b71ddc09f26361199479faf,https://www.adlerlawgroupllc.com/,www.adlerlawgroupllc.com
b602ac5be0edd4e64ae179af255f6d46,https://www.anderson-cummings.com/fort-worth/personal-injury-lawyer.html,www.anderson-cummings.com
2562df1599b5f0ae4083d6798bd1f606,https://www.kocianlaw.com/?utm_source=local&utm_medium=google&utm_campaign=hartfordgmb,www.kocianlaw.com
9a95d62f09111a7103c0d1ffb309022f,https://darrylbreauxlaw.com/,darrylbreauxlaw.com
b00b0a74840ddf621cafc3dd5c839a7f,https://www.injuryattorneyoftexas.com/ft-worth-personal-injury/,www.injuryattorneyoftexas.com
936e9b469994d89dae73334e4aceb49f,https://hershcrockett.com/,hershcrockett.com
4cf7b7038d212979155d2a7e6a192a5f,https://www.chopinlawfirm.com/?utm_source=GMB&utm_medium=organic&utm_campaign=neworleans,www.chopinlawfirm.com
491e82410b7fecca3711be8617ae14a4,https://dougnewbornlawfirm.com/?gclid=EAIaIQobChMIps-u1pbS6gIVCKp3Ch3TNgkcEBAYASAAEgIo6PD_BwE,dougnewbornlawfirm.com
136141f20baaccf1adf4af89638efb69,https://www.weinandpalermo.com/?utm_source=GMB&utm_medium=organic&utm_campaign=WestHartford,www.weinandpalermo.com
c58faf3ccb9edd9d3e3009495432058e,https://www.warriorsforjustice.com/?utm_source=google&utm_medium=local&utm_campaign=gmb_listing,www.warriorsforjustice.com
c9c5424edc68d03f2e1ce7e73a01ca6d,http://www.shlosmanlaw.com/,www.shlosmanlaw.com
bc81748424105606ab32b4d414855e8e,http://anzianobertucio.com/,anzianobertucio.com
4ff155c4854772c3dec89d3b6e370ea0,https://thrushlawgroup.com/category/motor-vehicle-accident/?campaignid=6495905660&adgroupid=78368148712&adid=381853199251&gclid=EAIaIQobChMIps-u1pbS6gIVCKp3Ch3TNgkcEBAYAiAAEgLssvD_BwE,thrushlawgroup.com
ff8b065ab51707b5469b5332f2786790,https://www.fhlawgroup.com/,www.fhlawgroup.com
0d70a25fde996fcd6e983ba6ec14bb1c,https://www.nola-law.com/?npcmp=dir:local:1647417:70139,www.nola-law.com
51c11574e5673e22329dabdcf6802827,https://hughesmathews.com/hartford-ct-personal-injury-car-accident-workers-comp-lawyers/,hughesmathews.com
eaff1d7cc4e0a766e9b5ba671ee3939f,http://www.woodsonlawfirm.com/,www.woodsonlawfirm.com
b29a783538123217ad5c2046e5b3d9ba,https://www.zayaslaw.com/?utm_source=GMB&utm_medium=organic&utm_campaign=hartford,www.zayaslaw.com
8f7725c362634d1a8939e418944920a8,https://www.turbin.net/lp/motor-vehicle-accidents-landing-page_ppc_lp/?dcmp=939421437&hbx_pk=honolulu%20car%20accident%20lawyer&k_clickid=2dc6acc2-594c-4ae8-8b2b-7d08b7a52406&cid=5f2b904a-77fe-40ec-8197-53818fd5d7a9&kenibpid=p.6910._k__k_.cr3266,www.turbin.net
28f7e80e1160f30a9c313c835e10a851,http://www.randallmoorelaw.com/,www.randallmoorelaw.com
ca0515333fb15275266de4887390d2f0,https://zaneslaw.com/tucson-personal-injury-lawyer/?utm_source=google&utm_medium=organic&utm_campaign=gmb,zaneslaw.com
cf37036271cf85d4bef181d31436728d,https://www.scherrlegate.com/?campaignid=8701546780&adgroupid=85854037085&creative=408658540693&matchtype=p&network=g&device=c&keyword=car%20accident%20lawyer,www.scherrlegate.com
10fa75f54d0d75945173f72738192030,https://gaadlaw.com/personal_injury.html?utm_campaign=x_Personal+Injury_x&utm_source=google&utm_medium=ppc&utm_term=%2Bauto%20%2Baccident%20%2Battorney&utm_content=2993195x769039952052787614,gaadlaw.com
190c92d4af862e2e86a9cfbe94671f17,https://www.gofflawgroup.net/?utm_source=GMB&utm_medium=organic&utm_campaign=Hartford,www.gofflawgroup.net
602ac42c7607a304f907375868b1cffe,https://www.thebentonlawfirm.com/fort-worth/?utm_source=GMB&utm_medium=organic&utm_campaign=fort-worth,www.thebentonlawfirm.com
03e6733e06d51a8ece7f52f00d7e6584,https://www.accidentlawyerhawaii.com/,www.accidentlawyerhawaii.com
dc7b000b809f175c7cec0e3faf6220b3,https://www.michaelgopin.com/montwood-dr/?utm_source=local&utm_medium=organic&utm_campaign=montwoodgmb,www.michaelgopin.com
d69915d6869a6455514bdd48cb056e9c,http://www.cateslegal.com/,www.cateslegal.com
a4e13df5ae117c1f4b695a73e43f8a6c,https://www.attorneykohm.com/personal-injury-attorney-fort-worth/,www.attorneykohm.com
418b1465e510d8d2c53add2bffbde6f5,http://www.ctautoinjurylawyer.com/,www.ctautoinjurylawyer.com
e318f0522ed2e3207e186b0c64231370,https://www.lyslaw.com/contact-us,www.lyslaw.com
3e58bda32fc8c81dc0e3bd16f8850dd7,https://www.tatelawoffices.com/fort-worth/,www.tatelawoffices.com
cd86ee207354d641120ec7f5d27f2693,https://www.arandalawfirm.com/,www.arandalawfirm.com
452924849a691a7d1dbade2d184ec530,http://lernerandrowe.com/tucson/?utm_source=gmblisting&utm_medium=organic,lernerandrowe.com
f41cd258e71ddcb8cdc8b26898464de6,https://www.steinkemperlaw.com/,www.steinkemperlaw.com
